id,source,category,title,price,rating,review_count,url,img_url
6219,microcenter,laptops,"Lenovo ThinkPad E14 Gen 6 14"" Laptop Computer - Black;  Intel Core Ultra 7 155U 1.7GHz Processor;  16GB DDR5-5600 RAM;  512GB Solid State Drive;  Intel Graphics",699.99,-1.0,-1,https://www.microcenter.com/product/694505/lenovo-thinkpad-e14-gen-6-14-laptop-computer-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694505_852426.jpg
6220,microcenter,laptops,"HP 255 G10 15.6"" Laptop Computer - Dark Ash Silver;  AMD Ryzen 7 7730U 2.0GHz Processor;  16GB DDR4-3200 RAM;  512GB Solid State Drive;  AMD Radeon Graphics",429.99,-1.0,-1,https://www.microcenter.com/product/689653/hp-255-g10-156-laptop-computer-dark-ash-silver,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0689653_795625.jpg
6221,microcenter,laptops,"Acer Nitro V ANV15-51-53CS 15.6"" Gaming Laptop Computer - Obsidian Black;  Intel Core i5 13th Gen 13420H 1.5GHz Processor;  NVIDIA GeForce RTX 4050 6GB GDDR6;  16GB DDR5 RAM;  512GB Solid State Drive",699.99,-1.0,-1,https://www.microcenter.com/product/696233/acer-nitro-v-anv15-51-53cs-156-gaming-laptop-computer-obsidian-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0696233_871954.jpg
6222,microcenter,laptops,"ASUS Zenbook DUO UX8406CA-PS99T 14"" 2-in-1 Laptop Computer - Inkwell Gray;  Intel Core Ultra 9 285H 2.7GHz Processor;  32GB LPDDR5x-7467 Onboard RAM;  1TB Solid State Drive;  Intel Arc Graphics",1699.99,-1.0,-1,https://www.microcenter.com/product/694404/asus-zenbook-duo-ux8406ca-ps99t-14-2-in-1-laptop-computer-inkwell-gray,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694404_856864.jpg
6223,microcenter,laptops,"ASUS VivoBook S16 S5606CA-MS96 OLED 16"" Laptop Computer - Neutral Black;  Intel Core Ultra 9 285H 2.9GHz Processor;  32GB LPDDR5X-7500 Onboard RAM;  1TB Solid State Drive;  Intel Arc Graphics",1199.99,-1.0,-1,https://www.microcenter.com/product/694390/asus-vivobook-s16-s5606ca-ms96-oled-16-laptop-computer-neutral-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694390_852160.jpg
6224,microcenter,laptops,"Lenovo IdeaPad Flex 5 14IAU7 14"" 2-in-1 Laptop Computer - Storm Grey;  Intel Core i5 12th Gen 1235U 1.3GHz Processor;  8GB LPDDR4x-4266 Onboard RAM;  512GB Solid State Drive;  Intel Iris Xe Graphics",399.99,-1.0,-1,https://www.microcenter.com/product/694342/lenovo-ideapad-flex-5-14iau7-14-2-in-1-laptop-computer-storm-grey,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694342_850941.jpg
6225,microcenter,laptops,"Acer Nitro 14 AN14-41-R74Z 14.5"" Gaming Laptop Computer - Obsidian Black;  AMD Ryzen 7 8845HS 3.8GHz Processor;  NVIDIA GeForce RTX 4060 8GB GDDR6;  16GB LPDDR5X Onboard RAM;  512GB Solid State Drive",999.99,-1.0,-1,https://www.microcenter.com/product/695667/acer-nitro-14-an14-41-r74z-145-gaming-laptop-computer-obsidian-black,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0695667_865766.jpg
6226,microcenter,laptops,"HP ProBook 465 G11 16"" Laptop Computer - Silver;  AMD Ryzen 7 7735U 2.7GHz Processor;  16GB DDR5-4800 RAM;  512GB Solid State Drive;  AMD Radeon Graphics",649.99,-1.0,-1,https://www.microcenter.com/product/694519/hp-probook-465-g11-16-laptop-computer-silver,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0694519_852442.jpg
6227,microcenter,laptops,"Dell 14 Plus DB14250 14"" Laptop Computer - Ice Blue;  Intel Core Ultra 7 258V 2.2GHz Processor;  32GB LPDDR5X-8533 Onboard RAM;  1TB Solid State Drive;  Intel Arc Graphics",1099.99,-1.0,-1,https://www.microcenter.com/product/691837/dell-14-plus-db14250-14-laptop-computer-ice-blue,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0691837_818229.jpg
6228,microcenter,laptops,"Lenovo Slim 7 14ILL10 Copilot+ PC OLED 14"" Intel Evo Platform Laptop Computer - Luna Grey;  Intel Core Ultra 7 256V 2.2GHz Processor;  16GB LPDDR5x-8533 Onboard RAM;  1TB Solid State Drive;  Intel Arc Graphics 140V",999.99,-1.0,-1,https://www.microcenter.com/product/691935/lenovo-slim-7-14ill10-copilot-pc-oled-14-intel-evo-platform-laptop-computer-luna-grey,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0691935_823088.jpg
